Id,Name,Mapid,Agelevel,Totplay,Opentopublic,Invitation,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Specificcomments,Generalcomments,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid
20,Fayette & Queen Park (Helen Miller / Bernard Hunter Park),76,"2-5,5-12",2,3,3,2,3,2,2,1,2,3,1,1,2,2,2,2,2,"some dead grass,no todd swg,","popular,good range of act",11,22,242,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.807861,-77.052248,5684f48b14185e47f2ddd819a26ffcd512c4fe38
21,Lyles Crouch School,94,,2,3,3,2,3,2,2,1,2,3,1,1,2,1,2,2,2,"assumes after school,more 2-5,gardens",good example of school play,11,22,242,SCHOOL,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.800132,-77.046654,7b5eb3f1967e3a4347c9d6dddb13cf606a0edd80
22,Montgomery Park,62,"2-5,5-12",2,3,3,2,3,3,2,1,3,2,1,2,2,2,2,1,2,"pavilion,needs inside seating,lacks spinning","could be great with few upgrades,more 2-5/nature",10,24,240,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.814436,-77.041162,d7e92da48b7f6e32baf73835b555707299da5bf7
23,Del Ray Playground,800,,2,3,3,2,3,1,2,1,1,3,1,1,2,2,2,2,2,"naturally designed play eqip, stumps, rocks,topo", - ,11,21,231,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.825626,-77.061592,dd78ff73301a2a4b0544774856a543c02b5616e3
24,Potomac Greens HOA,124,,2,3,1,2,3,1,1,1,1,3,1,1,2,2,2,2,2,1/5/12,another playground at parcel?,12,19,228,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.831731,-77.045639,ef50df2f4223c33d2bbfc30bc0dd4897dcb36ece
25,Ben Brenman Park,99,,2,3,2,2,3,2,2,1,2,3,2,2,2,2,2,1,2,"feat not engaging,lacks int social,fence sep kids", - ,9,25,225,PARK,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.808162,-77.113257,08c28da499cc2894788796a0f73935f6b3c4bc1d
26,George Mason School,36,,2,3,2,2,3,2,2,1,2,2,1,1,2,2,1,2,2,"more seating,some 2-5","lots of people,after school?, good surfacing",11,20,220,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.828909,-77.072405,bb0543918fa402717879bdf530ad5940b18b4866
27,Nannie J Lee Recreation,129,,2,3,1,2,3,2,2,1,2,3,2,2,2,2,2,2,2,rec ctr use? more 2-5,"have to go thru rec ctr or fire, great surfacing",10,22,220,REC CENTER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.796464,-77.053064,78730202d1257bcd19d18bfd2792a56034a8c293
28,Old Presbyterian church meeting house,152,,2,2,2,2,3,3,2,1,3,2,1,1,2,2,2,2,2,"assumed full time, inside wall, rest pkg, porch","historic setting, presumed no public in church",11,20,220,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.801468,-77.043396,49895991ba083ba7cab26aa99fe3d30f5e1e77e1
29,Park Fairfax,133,,2,1,1,2,2,3,1,1,3,3,2,2,2,2,2,2,2,no spinning or swings,private and posed no trespass,10,22,220,OTHER,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.835797,-77.077732,91aaf4073adda05bb91ecd5689073c8fe44def6a
30,Warwick Landover,21,"2-5,5-12",2,3,3,2,3,2,2,1,2,3,1,1,2,1,1,2,2,"seatwalls,no social/intell for 2-5","very new, limited for 2-5",10,22,220,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.835236,-77.061754,db7d1ff804faada17e63247ed27fda9d56d000e7
31,Fort Ward Park Hist Site,32,"2-5,5-12",2,3,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,"not ada, play isolated,2 sep structures",no fence - not near streets,12,18,216,PARK,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.831184,-77.100571,043e48e8e665f1bb37d0db7f1add414169f41d4b
32,Hillwood Apt,120,,2,3,1,2,3,1,1,1,1,2,1,1,2,2,2,2,2, - ,"2-12 structure?,overhead ladder",12,18,216,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.831354,-77.126814,3dd63fd8170bf8dcdcd3d0f054cc93e24544c5dc
33,James Mulligan Park,142,,2,3,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,"wooded,needs light/color,","good range,surfacing",12,18,216,PARK,SubArea One,10/14/12 17:37,11/18/12 18:03,38.838489,-77.107302,a95f5173b45420e517845a172e620c29bc598879
34,MeadowCreek Apt,122,,2,3,2,2,3,1,1,1,1,2,1,1,2,2,2,2,2,"phy domain-2-5 only,","structure,dome(2-5),swings -2 infant, 2 todd",12,18,216,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.826801,-77.130727,e964c2fbd0854cb1173d822144ac52e40a204e0a
35,Mt Jefferson Park Green,30,"2-5,5-12",2,3,3,2,2,2,2,1,2,3,1,1,2,2,2,2,2, - , - ,10,21,210,GREENWAY,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.830651,-77.055817,6edd7a33e19602d874a12131de1e210ef69c2c2a
36,Fairlington Un Methodist,118,,1,3,2,1,3,2,2,1,2,3,1,1,2,2,2,2,2,"looks private,hard to park,busy st,need 2-5",tired-looking,11,19,209,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.833049,-77.096171,455c4196a1db356632ebf2a11bf3a794d4ee6cdf
37,Patrick Henry School,55,,2,3,3,2,3,1,2,1,1,2,1,1,2,2,2,1,2,"feels disconnected,no belted seats",school does not seem well thought out,11,19,209,SCHOOL,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.817606,-77.111073,cc8ed7c43aadf38ca67a80d7173a0afd30037b49
38,Bishop of Arlington,110,,2,1,3,2,3,1,2,3,1,1,2,2,2,2,2,1,2,"child care ctr,needs shade,no seating,RR inside","no swings,no springs,not public?",9,23,207,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.812256,-77.046609,4e485420889ffd02cc5035eeff2a5cc4c95d2302
39,Tarleton Park,200,,2,3,1,1,2,1,1,1,1,3,1,1,2,2,1,2,2, - , - ,12,17,204,PARK,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.808752,-77.108361,563d6b5c9a45d0e5653f324bca45ec8adb590d4f
40,Goat Hill Park,29,,2,3,2,2,3,2,2,1,2,2,1,1,2,2,2,2,1,"shade,more benches,more free play",nice on hillside-popular,10,20,200,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.832367,-77.06101,2682308f8de41bb01efdd0da64ba4ea1eb03fbe5
41,Armory Tot Lot,93,,2,3,3,2,3,2,1,1,2,3,1,1,2,2,1,2,2,"indoor play area in mall, few plastic structures", - ,9,22,198,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.803021,-77.043672,cd4750aa5aebda3d0a1e7bf86fde2f6c06b90852
42,Charles Barrett School,145,,2,3,3,3,3,2,2,1,2,1,2,2,2,1,1,2,2,"bus line,surfacing has grass,one bench","more 2-5, garden, lg mulch",9,22,198,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.841731,-77.076124,7e79d22e45bc2f5463558de698aaee6d7b985c64
43,James K Polk School,42,,2,3,3,2,3,2,2,1,2,3,1,1,2,1,1,2,2,"school,not great 2-5,play other side bldg not 2-5","big play,schoolyard not as impressive",9,22,198,SCHOOL,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.822448,-77.116993,98f639f44b7af656efaaddc46a2bd6395dc062fa
44,Southern Towers,128,,1,1,2,2,3,1,2,1,1,3,1,1,2,2,1,2,2,"res or guest only,5-12 struc,6 swings","private,no path,swings too high",11,18,198,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.83263,-77.112798,0c561a3629e3fc3d90de49837da03f65fdf4ef4b
45,Landmark Mall,902,,2,3,3,2,2,3,2,1,3,3,2,1,2,2,1,1,2,"in mall, not a lot of equip,primary user under 6", - ,8,24,192,INDOOR,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.816134,-77.131862,b1e13d8e8820529412f561f7ea5af8785d45f546
46,ARHA_Oronoco,106,,1,3,2,2,3,2,2,1,2,3,1,1,1,2,2,2,2,"pres public housing,no 2-5,grass area fenced","nice area for public housing, needs more 2-5",9,21,189,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.809194,-77.042768,3548edbf3c89ac6ac24553c373c87e4af6b6394f
47,Chatham Square HOA,113,,2,3,2,2,3,2,2,1,2,3,1,1,1,2,2,2,2, - , - ,9,21,189,OTHER,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.808781,-77.04323,28f2b7099ed26e3777c3e0cd1a941701b21909c1
48,G Washington School,59,,2,3,3,3,3,2,1,1,2,1,1,1,2,2,2,2,1,"metro nearby,no spin,open lawn is exposed",Head Start Program,9,21,189,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.815219,-77.05637,662698c08efeab8150bab7656a2099fd6ce891ba
49,Exchange at Van Dorn,117,,2,1,1,2,3,2,2,1,2,3,1,1,2,2,2,2,2, - , - ,10,18,180,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.801673,-77.120344,91dee2a3ca00dc6fe2b198df1c4b33f7b35c62a7
50,Hume Springs Park,19,"2-5,5-12",2,3,3,2,2,2,2,1,2,1,1,1,2,2,2,2,2,"auto across street, industrial feel, one bench", - ,10,18,180,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.83818,-77.058274,4de2e0eddccbb6008a061453201637dd0ae8e903
51,Mason Avenue Park,46,"2-5,5-12",2,3,3,2,2,2,2,1,2,3,1,1,2,2,1,2,1,"spin spring,swing,all 2-5,sm free play, worn grass","shaded,needs social/creative play",9,20,180,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.820804,-77.062244,0c389434f1b19a3a8d3fd194d4edc5a3e6cf1e05
52,Powhatan Park,51,"2-5,5-12",2,3,3,2,2,1,1,1,1,2,1,1,2,2,2,2,2,"not welcoming,fenced,next to busy st", - ,10,18,180,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.817729,-77.048992,150725787762eba103115862246e9fba1cef3f5d
53,Sunset Park,81,,2,3,3,1,2,1,1,1,1,2,1,1,2,2,2,2,2,"on busy st,no pakg,", - ,10,18,180,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.807218,-77.062165,96b130eb1886cb17b47f89bc3e915e1b0815e300
54,Samuel Tucker Elementary,136,,2,3,2,2,3,3,2,1,3,3,1,1,2,2,2,1,1,"school,porticos,no social 2-5",new,8,22,176,SCHOOL,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.805469,-77.127557,f11f9ddcda03134732694a7b5fe8bcf59368edff
55,Chinquapin Park,140,,2,3,2,2,2,3,1,1,3,2,1,1,2,2,1,2,2,"worn,no play during school, shelter, seating far","more 2-5,nice but little use",9,19,171,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.821826,-77.081645,4e6f1e0f35da749755fd49dfeda1e10eac37bf4e
56,Lynhaven Park,20,"2-5,5-12",2,3,3,2,2,2,2,1,2,3,2,2,2,2,2,1,1,"cluttered surroundings,people cut thru,rec ctr but","confined,no spin, update fence/circul,",8,21,168,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.836545,-77.056602,25f974006fed8051ae4a1fcb5e0089b60c5528fc
57,Maury School,63,,2,3,3,2,3,2,2,1,2,2,1,1,1,1,1,2,2,"after hours only,, lacks 2-5","lg play at school, but not age appr.",8,21,168,SCHOOL,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.812714,-77.064445,3cd2321d4e0d68b93232a945b5e3583416195e30
58,Newport Village Apt,132,,2,1,1,2,3,1,2,1,1,3,1,1,2,2,2,2,2,"1 struc, 2-12 yrs afe , some for 2-5","no fence,no ada,ewf/half covered,sm shelter",11,15,165,OTHER,SubArea One,10/14/12 17:37,11/18/12 18:03,38.837501,-77.111296,ba5f1b2873a52abdfce02888a475d19f63c0ea8c
59,ARHA_Whiting,107,,2,1,2,2,3,2,2,1,2,2,1,1,2,2,2,2,1,"more 2-5, no space for free play", - ,9,18,162,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.810169,-77.136896,baebb442a89ae09e201f185c252a0017989b295b
60,Cameron Parke Townes,112,,2,1,1,2,3,2,2,1,2,3,1,1,2,2,2,2,1,no signage restricting public use,playhouse is in fall zone of slide,9,18,162,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.805327,-77.094769,5938109f2ae0c7a9c387e3a16763e05063b30b25
61,Holmes Run Park-S. Jordan St.,98,,1,3,3,2,3,2,2,1,2,3,2,2,2,1,1,2,1,"sufacing needs renovated,across bridge RR/water","no 2-5 for social/physical,intell",7,23,161,PARK,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.812053,-77.109617,766b64f3b76ab04c45a51746b4dccc8e54798d23
62,Angel Park,101,"2-5,5-12",2,3,3,2,2,2,2,1,2,2,1,1,2,1,2,2,1,"close to road,benches not shaded, more 2-5","fenced areas has no free play, area out too steep",8,20,160,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.809893,-77.075151,ee2cb4c81c87a3eb4a8c4e8c1979e3c79695a21f
63,Grace Episcopal,119,,2,1,1,2,3,2,1,1,2,1,1,1,2,2,2,1,1,"private prop,more spin,","hard to find, not open to public",10,16,160,OTHER,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.836985,-77.064171,19156a067343bb24a2c8ed6ec7d85c71774383dc
64,Woodbine Park,700,,2,3,3,2,3,1,1,1,1,2,1,1,2,1,1,2,2, - , - ,8,20,160,PARK,SubArea Three,10/14/12 17:37,11/18/12 18:03,38.829289,-77.082485,1df05b8b179ce3faea0b0b5af1272aab3f8dab5d
65,Buchanan Park,201,,1,3,2,3,3,1,1,1,1,2,1,1,2,1,1,1,2, - , - ,8,19,152,PARK,SubArea Four,10/14/12 17:37,11/18/12 18:03,38.808607,-77.057203,f36cd62cca98a1e54fcd6a5b4b491d160941bfb3
66,Ewald Park,600,,2,3,2,2,3,1,1,1,1,2,2,1,2,1,1,2,2,looks like tot lot with equipment for older kids, - ,8,19,152,PARK,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.811267,-77.108631,5dfdfff4d6378969e25f927ffe61b7352dffdf19
67,Van Dorn Edsall,134,,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,"no ADA,close to pkg,needs fence,upgrade sufg",surface slopes too much,9,16,144,OTHER,SubArea Two,10/14/12 17:37,11/18/12 18:03,38.809175,-77.133931,490dc3d974bc1ca6cd13f14eb2ae0ccfaea25cab
